N°,NOM,SUPERFICIE,REGION,CATEGORIE
1,Forêt classée de BOSSEMATIE,2 1 960,Indénié Djuablin,1
2,Forêt classée de CAVALY,6 7 327,Cavally,1
3,Forêt classée de BONGO,1 378,Sud-Comoé,1
4,Forêt classée de N'GUECHIE,3 657,La Mé,1
5,Forêt classée de YAYA,2 3 880,La Mé,1
1,Forêt classée de KONGODEKRO,6 43,Gbèkè,2
2,Forêt classée de KOUABO BOKA,2 340,Gbèkè,2
3,Forêt classée de TENE,2 9 968,Gôh,2
4,Forêt classée de YAPO ABBE,3 0 585,Agnéby-Tiassa,2
5,Forêt classée de BAMORO,2 422,Gbèkè,2
6,Forêt classée de BENA-FOKO,7 58,Gbèkè,2
7,Forêt classée de BOKA-GO,6 999,Gbèkè,2
8,Forêt classée de SOUNGOUROU,6 041,Belier,2
9,Forêt classée de RAVIART,7 46,Belier,2
10,Forêt classée de ABEANOU,1 2 199,N'Zi,2
11,Forêt classée de BOUAFLE,1 9 729,Marahoué,2
12,Forêt classée de AHUA,2 027,N'Zi,2
13,Forêt classée de BEKI,1 6 023,Indénié Djuablin,2
14,Forêt classée de SEGUIE,2 0 066,La Mé,2
15,Forêt classée de SANGOUE,3 5 857,Gôh,2
16,Forêt classée de MOPRI,3 2 470,Agnéby-Tiassa,2
17,Forêt classée de BAMO,1 77,Agnéby-Tiassa,2
18,Forêt classée de LOVIGUIE,2 433,Agnéby-Tiassa,2
19,Forêt classée de IROBO,1 3 957,Agnéby-Tiassa,2
20,Forêt classée de NEGUE,2 36,Sud-Comoé,2
21,Forêt classée de DASSIOKO SUD,7 399,Gbôklé,2
22,Forêt classée de TAMIN,2 4 935,Sud-Comoé,2
23,Forêt classée de MABI,5 9 494,La Mé,2
24,Forêt classée de FORO-FORO,6 135,Gbèkè,2
25,Forêt classée de BESSO,2 3 485,La Mé,2
26,Forêt classée de KASSA,5 122,Agnéby-Tiassa,2
1,Forêt classée de MONT TONKOUI,5 900,Tonkpi,3
2,Forêt classée de HAUT SASSANDRA,1 04 045,Haut Sassandra,3
3,Forêt classée de KROZALIE,9 294,Tonkpi,3
4,Forêt classée de MANZAN,4 539,Indénié Djuablin,3
5,Forêt classée de N'TO,1 3 253,La Mé,3
6,Forêt classée de DAVO,1 1 990,Gôh,3
7,Forêt classée de MAFE,1 8 487,Agnéby-Tiassa,3
8,Forêt classée de N'ZODJI,1 3 426,La Mé,3
9,Forêt classée de DASSIOKO NORD,3 555,Gbôklé,3
10,Forêt classée de HEIN,1 1 102,La Mé,3
11,Forêt classée de ANBGUEDEDOU,9 149,Abidjan,3
12,Forêt classée de SONGAN,3 8 186,Indénié Djuablin,3
13,Forêt classée de MONT YALO,2 3 765,Tonkpi,3
14,Forêt classée de SEGUELA,1 22 496,Haut Sassandra,3
15,Forêt classée de IRA,1 7 845,Tonkpi,3
16,Forêt classée de MONT GBA,4 008,Tonkpi,3
17,Forêt classée de HAUTE DE,7 072,Haut Sassandra,3
18,Forêt classée de SEMIEN,2 917,Guémon,3
19,Forêt classée de MONT NIETON,1 1 139,Tonkpi,3
20,Forêt classée de GUEOULE,1 4 688,Tonkpi,3
21,Forêt classée de TIAPLEU,1 5 882,Tonkpi,3
22,Forêt classée de KOUIN,8 548,Guémon,3
23,Forêt classée de MONT GLO,1 1 663,Tonkpi,3
24,Forêt classée de SANGOUINE,2 2 190,Tonkpi,3
25,Forêt classée de MONT MOMI,1 0 969,Tonkpi,3
26,Forêt classée de MONT TIA,2 5 119,Guémon,3
27,Forêt classée de MONT GLAS,1 924,Tonkpi,3
28,Forêt classée de DE,1 2 458,Marahoué,3
29,Forêt classée de KOUMO,3 657,N'Zi,3
30,Forêt classée de ETTROKRO,9 318,Iffoui,3
31,Forêt classée de BOSSIA-MON,4 71,N'Zi,3
32,Forêt classée de BRASSUE,2 0 313,Indénié Djuablin,3
33,Forêt classée de MARAHOUE,1 8 836,Marahoué,3
34,Forêt classée de SCIO,8 9 753,Cavally,3
35,Forêt classée de ARRAH,1 3 794,La Mé,3
